Paris,2229621
Marseille,855393
Lyon,500715
Toulouse,458298
Nice,342295
Nantes,292718
Strasbourg,275718
Montpellier,272084
Bordeaux,243626
Lille,231491
Rennes,211373
Reims,182592
Le Havre,172074
Saint-Étienne,172023
Toulon,163760
Grenoble,160215
Dijon,153003
Nîmes,150564
Angers,150125
Villeurbanne,147192
Le Mans,144244
Aix-en-Provence,141545
Clermont-Ferrand,141463
Brest,139386
Limoges,135098
Tours,134803
Amiens,132699
Perpignan,120959
Metz,118634
Besançon,116952
Boulogne-Billancourt,116794
Orléans,114375
Mulhouse,112063
Rouen,110755
Saint-Denis,109343
Caen,107229
Argenteuil,106817
Montreuil,104139
Nancy,104072
Roubaix,95866
Tourcoing,93974
Nanterre,92227
Avignon,90305
Vitry-sur-Seine,90075
Créteil,89989
Dunkerque,89882
Poitiers,87427
Asnières-sur-Seine,86020
Courbevoie,85523
Versailles,85272
Colombes,84577
Aulnay-sous-Bois,82634
Rueil-Malmaison,79762
Pau,77575
Aubervilliers,77452
Champigny-sur-Marne,75961
Antibes,75456
Béziers,74811
La Rochelle,74344
Saint-Maur-des-Fossés,74133
Cannes,73325
Calais,72520
Saint-Nazaire,68513
Mérignac,68386
Drancy,68241
Colmar,67956
Ajaccio,67507
Bourges,67189
Issy-les-Moulineaux,65662
Levallois-Perret,65264
La Seyne-sur-Mer,64523
Quimper,63532
Noisy-le-Grand,62834
Villeneuve-d'Ascq,62616
Neuilly-sur-Seine,62346
Valence,61767
Antony,61727
Cergy,61708
Vénissieux,61636
Pessac,60763
Troyes,59671
Clichy,59255
Ivry-sur-Seine,58933
Chambéry,58653
Lorient,57961
Montauban,57921
Sarcelles,57533
Niort,57393
Villejuif,57184
Hyères,55713
Saint-Quentin,55698
Beauvais,55252
Épinay-sur-Seine,54857
Maisons-Alfort,54470
Cholet,53890
Meaux,53766
Chelles,53569
Pantin,53471
Évry,53237
Fontenay-sous-Bois,53124
Fréjus,53039
Vannes,53032
Bondy,52865
Narbonne,52802
Le Blanc-Mesnil,52797
La Roche-sur-Yon,52732
Arles,52566
Clamart,52203
Annecy,52029
Sartrouville,51599
Grasse,50916
Laval,50479
Belfort,50196
Bobigny,49802
Évreux,49722
Vincennes,49695
Montrouge,49656
Sevran,49465
Albi,49342
Charleville-Mézières,48991
Suresnes,48066
Martigues,47904
Corbeil-Essonnes,47632
Saint-Ouen,47534
Bayonne,47492
Cagnes-sur-Mer,46940
Brive-la-Gaillarde,46794
Carcassonne,46724
Massy,45902
Blois,45539
Saint-Brieuc,45331
Aubagne,45303
Châteauroux,45209
Chalon-sur-Saône,45166
Mantes-la-Jolie,45052
Meudon,45043
Saint-Malo,44919
Châlons-en-Champagne,44899
Alfortville,44818
Sète,44270
Salon-de-Provence,44263
Vaulx-en-Velin,44087
Puteaux,43891
Rosny-sous-Bois,43802
Saint-Herblain,43784
Gennevilliers,43219
Le Cannet,43187
Livry-Gargan,43099
Saint-Priest,42950
Istres,42937
Valenciennes,42851
Choisy-le-Roi,42769
Caluire-et-Cuire,42581
Boulogne-sur-Mer,42537
Bastia,42254
Angoulême,41970
Garges-lès-Gonesse,41782
Castres,41636
Thionville,41627
Wattrelos,41522
Talence,41517
Douai,41189
Noisy-le-Sec,41125
Tarbes,41062
Arras,40830
Alès,40711
La Courneuve,40678
Bourg-en-Bresse,40490
Compiègne,40430
Gap,40255
Melun,40066
Rezé,39568
Saint-Germain-en-Laye,39547
Marcq-en-Baroeul,39392
Gagny,39276
Anglet,39184
Draguignan,39174
Chartres,38840
Bron,38746
Bagneux,38520
Colomiers,38302
Saint-Martin-d'Hères,38019
Pontault-Combault,37847
Montluçon,37839
Joué-lès-Tours,37703
Poissy,37461
Savigny-sur-Orge,37206
Cherbourg-Octeville,37055
Montélimar,36643
Villefranche-sur-Saône,36531
Stains,36365
Bagnolet,35984
Châtillon,35964
Sainte-Geneviève-des-Bois,35868
Échirolles,35684
Roanne,35507
Villepinte,35329
Saint-Chamond,35308
Conflans-Sainte-Honorine,35213
Auxerre,34869
Nevers,34841
Neuilly-sur-Marne,34756
La Ciotat,34655
Tremblay-en-France,34614
Thonon-les-Bains,34610
Vitrolles,34493
Haguenau,34419
Six-Fours-les-Plages,34387
Agen,34344
Creil,34262
Annemasse,34261
Saint-Raphaël,34005
Marignane,33986
Romans-sur-Isère,33632
Montigny-le-Bretonneux,33625
Le Perreux-sur-Marne,33480
Franconville,33375
Mâcon,33350
Cambrai,32852
Châtenay-Malabry,32623
Villeneuve-Saint-Georges,32575
Houilles,32287
Épinal,32188
Lens,31647
Liévin,31517
Les Mureaux,31487
Schiltigheim,31450
Meyzieu,31438
Dreux,31373
Nogent-sur-Marne,31367
Plaisir,31342
Mont-de-Marsan,31334
Palaiseau,31264
Châtellerault,31262
Goussainville,31212
L'Haÿ-les-Roses,31201
Viry-Châtillon,31132
Vigneux-sur-Seine,31126
Trappes,30979
Chatou,30809
Clichy-sous-Bois,30725
Villenave-d'Ornon,30663
Rillieux-la-Pape,30645
Maubeuge,30567
Charenton-le-Pont,30408
Malakoff,30304
Dieppe,30214
Athis-Mons,30094
Savigny-le-Temple,30068
Périgueux,30036
Vandoeuvre-lès-Nancy,29836
Pontoise,29826
Aix-les-Bains,29580
Cachan,29462
Vienne,29325
Thiais,29280
Orange,29193
Saint-Médard-en-Jalles,29178
Villemomble,29165
Saint-Cloud,29109
Saint-Laurent-du-Var,28891
Yerres,28797
Saint-Étienne-du-Rouvray,28738
Sotteville-lès-Rouen,28704
Draveil,28687
Le Chesnay,28640
Bois-Colombes,28561
Le Plessis-Robinson,28500
La Garenne-Colombes,28498
Lambersart,28491
Soissons,28472
Pierrefitte-sur-Seine,28459
Carpentras,28422
Villiers-sur-Marne,28190
Vanves,28170
Menton,28100
Bergerac,28063
Ermont,28021
Bezons,27855
Grigny,27716
Guyancourt,27546
Saumur,27413
Herblay,27378
Ris-Orangis,27312
Villiers-le-Bel,27312
Bourgoin-Jallieu,27163
Vierzon,27113
Décines-Charpieu,26826
Hénin-Beaumont,26748
Fresnes,26645
Aurillac,26572
Sannois,26557
Vallauris,26465
Illkirch-Graffenstaden,26455
Alençon,26350
Élancourt,26290
